Plot,TreeID,Type,Mother,Row,Pos,Height
Common Garden,D2-10-3,B3F2,D2-10,A,3,1.38
Common Garden,D2-10-3,B3F2,D2-10,A,12,1.12
Common Garden,D2-10-3,B3F2,D2-10,C,20,1.36
Common Garden,D2-10-3,B3F2,D2-10,H,3,0.94
Common Garden,D2-10-3,B3F2,D2-10,H,4,1.05
Common Garden,D2-10-3,B3F2,D2-10,K,22,0.85
Common Garden,D2-10-3,B3F2,D2-10,K,27,0.94
Common Garden,D2-10-3,B3F2,D2-10,M,13,0.2
Common Garden,D2-10-3,B3F2,D2-10,N,13,0.53
Common Garden,D2-10-3,B3F2,D2-10,N,14,0.75
Common Garden,D2-10-3,B3F2,D2-10,P,9,1.18
Common Garden,D2-10-3,B3F2,D2-10,Q,13,1.97
Common Garden,D2-10-3,B3F2,D2-10,S,20,0.8
Common Garden,D2-26-66,B3F2,D2-26,A,4,1.15
Common Garden,D2-26-66,B3F2,D2-26,A,11,0.75
Common Garden,D2-26-66,B3F2,D2-26,A,21,0.75
Common Garden,D2-26-66,B3F2,D2-26,D,22,1.7
Common Garden,D2-26-66,B3F2,D2-26,F,6,1.69
Common Garden,D2-26-66,B3F2,D2-26,F,13,1.1
Common Garden,D2-26-66,B3F2,D2-26,G,9,1.68
Common Garden,D2-26-66,B3F2,D2-26,G,14,1.14
Common Garden,D2-26-66,B3F2,D2-26,H,7,1.61
Common Garden,D2-26-66,B3F2,D2-26,H,28,1.38
Common Garden,D2-26-66,B3F2,D2-26,J,11,0.77
Common Garden,D2-26-66,B3F2,D2-26,J,17,1.25
Common Garden,D2-26-66,B3F2,D2-26,K,20,0.95
Common Garden,D2-26-66,B3F2,D2-26,K,24,1.04
Common Garden,D2-26-66,B3F2,D2-26,K,28,0.65
Common Garden,D2-26-66,B3F2,D2-26,O,4,0.8
Common Garden,D2-26-66,B3F2,D2-26,O,22,0.84
Common Garden,D2-26-66,B3F2,D2-26,P,15,1.23
Common Garden,D2-26-66,B3F2,D2-26,R,20,1.66
Common Garden,D2-26-66 x open (2020),B3F2,D2-26,G,13,
Common Garden,Greg Miller Chinese,Chinese,GM-C,A,9,0.83
Common Garden,Greg Miller Chinese,Chinese,GM-C,A,10,0.62
Common Garden,Greg Miller Chinese,Chinese,GM-C,A,22,0.92
Common Garden,Greg Miller Chinese,Chinese,GM-C,C,1,0.75
Common Garden,Greg Miller Chinese,Chinese,GM-C,F,14,1.13
Common Garden,Greg Miller Chinese,Chinese,GM-C,H,9,0.93
Common Garden,Greg Miller Chinese,Chinese,GM-C,H,10,1.59
