Plot,TreeID,Type,Mother,Row,Pos,Height
Common Garden,D58-20UNU431,OxO-,UNU,P,12,0.39
Common Garden,D58-20BD001,OxO-,BD,H,26,1.08
Common Garden,D58-20BD002,OxO-,BD,K,6,1.5
Common Garden,D58-20BD003,OxO-,BD,G,12,1.03
Common Garden,D58-20BD004,OxO-,BD,O,16,0.58
Common Garden,D58-20BD005,OxO-,BD,N,22,0.85
Common Garden,D58-20BD007,OxO-,BD,F,28,1.04
Common Garden,D58-20BD008,OxO-,BD,A,16,1
Common Garden,D58-20BD009,OxO-,BD,P,26,0.81
Common Garden,D58-20BD018,OxO-,BD,A,14,1.13
Common Garden,D58-20BD019,OxO-,BD,Q,26,0.73
Common Garden,D58-20DK001,OxO-,DK,N,12,1.08
Common Garden,D58-20DK003,OxO-,DK,D,14,1.4
Common Garden,D58-20DK004,OxO-,DK,R,8,1.88
Common Garden,D58-20DK008,OxO-,DK,H,14,0.66
Common Garden,D58-20DK009,OxO-,DK,I,14,1.15
Common Garden,D58-20DK011,OxO-,DK,A,6,0.87
Common Garden,D58-20DK012,OxO-,DK,R,4,1.25
Common Garden,D58-20DK014,OxO-,DK,I,6,1.58
Common Garden,D58-20DK016,OxO-,DK,H,2,1.65
Common Garden,D58-20DK017,OxO-,DK,C,8,0.78
Common Garden,D58-20DK019,OxO-,DK,L,10,1.12
Common Garden,D58-20DK026,OxO-,DK,I,2,1.4
Common Garden,D58-20DK031,OxO-,DK,F,10,0.96
Common Garden,D58-20DK032,OxO-,DK,B,14,0.65
Common Garden,D58-20DK034,OxO-,DK,A,8,1.63
Common Garden,D58-20DK036,OxO-,DK,S,12,1.63
Common Garden,D58-20DK043,OxO-,DK,M,26,0.5
Common Garden,D58-20DK053,OxO-,DK,I,22,1.37
Common Garden,D58-20DK059,OxO-,DK,D,16,
Common Garden,D58-20FC004,OxO-,FC,E,10,1.16
Common Garden,D58-20FC008,OxO-,FC,M,10,0.75
Common Garden,D58-20FC011,OxO-,FC,E,16,0.68
Common Garden,D58-20FC019,OxO-,FC,M,16,0.78
Common Garden,D58-20FC021,OxO-,FC,J,2,0.86
Common Garden,D58-20FC023,OxO-,FC,S,26,1.23
Common Garden,D58-20FC024,OxO-,FC,G,4,1.37
Common Garden,D58-20FC027,OxO-,FC,H,12,0.94
Common Garden,D58-20FC028,OxO-,FC,L,6,1.17
Common Garden,D58-20FC029,OxO-,FC,R,14,0.73
Common Garden,D58-20FC030,OxO-,FC,D,8,0.88
Common Garden,D58-20FC032,OxO-,FC,A,24,0.15
Common Garden,D58-20FC033,OxO-,FC,F,24,1.2
Common Garden,D58-20FC035,OxO-,FC,L,14,0.84
Common Garden,D58-20FC036,OxO-,FC,K,12,0.84
Common Garden,D58-20FC037,OxO-,FC,R,12,1.37
Common Garden,D58-20FC038,OxO-,FC,E,22,1.12
Common Garden,D58-20FC043,OxO-,FC,L,28,1.09
Common Garden,D58-20FC048,OxO-,FC,R,22,1.26
Common Garden,D58-20FC055,OxO-,FC,I,8,1
Common Garden,D58-20FC056,OxO-,FC,I,24,0.94
Common Garden,D58-20FC061,OxO-,FC,M,28,0.85
Common Garden,D58-20FC063,OxO-,FC,G,26,1.48
Common Garden,D58-20FC064,OxO-,FC,E,18,0.72
Common Garden,D58-20GA027,OxO-,GA,B,16,0.8
Common Garden,D58-20GA028,OxO-,GA,D,24,1.32
Common Garden,D58-20GA030,OxO-,GA,F,8,1.2
Common Garden,D58-20GA031,OxO-,GA,L,24,1.06
